2026-04-11,KXHIGHLAX-26APR11-T71,"Will the high temp in LA be >71° on Apr 11, 2026?",greater_than,BUY_YES_STRONG,LA,YES,LOSS
2026-04-11,KXHIGHLAX-26APR11-B68.5,"Will the high temp in LA be 68-69° on Apr 11, 2026?",between,BUY_NO_STRONG,LA,NO,LOSS
2026-04-11,KXHIGHLAX-26APR11-B66.5,"Will the high temp in LA be 66-67° on Apr 11, 2026?",between,BUY_NO_STRONG,LA,NO,WIN
2026-04-11,KXHIGHLAX-26APR11-B64.5,"Will the high temp in LA be 64-65° on Apr 11, 2026?",between,BUY_NO,LA,NO,WIN

2026-04-11,KXHIGHNY-26APR11-T68,"Will the high temp in NYC be >68° on Apr 11, 2026?",greater_than,BUY_YES,NYC,YES,LOSS
2026-04-11,KXHIGHNY-26APR11-T61,"Will the high temp in NYC be <61° on Apr 11, 2026?",less_than,BUY_YES_STRONG,NYC,YES,LOSS
2026-04-11,KXHIGHNY-26APR11-B65.5,"Will the high temp in NYC be 65-66° on Apr 11, 2026?",between,BUY_NO,NYC,NO,WIN
2026-04-11,KXHIGHNY-26APR11-B63.5,"Will the high temp in NYC be 63-64° on Apr 11, 2026?",between,BUY_NO_STRONG,NYC,NO,LOSS
2026-04-11,KXHIGHNY-26APR11-B61.5,"Will the high temp in NYC be 61-62° on Apr 11, 2026?",between,BUY_NO_STRONG,NYC,NO,WIN

2026-04-11,KXHIGHCHI-26APR11-T51,"Will the high temp in Chicago be <51° on Apr 11, 2026?",less_than,BUY_YES,Chicago,YES,LOSS
2026-04-11,KXHIGHCHI-26APR11-B57.5,"Will the high temp in Chicago be 57-58° on Apr 11, 2026?",between,BUY_NO_STRONG,Chicago,NO,WIN
2026-04-11,KXHIGHCHI-26APR11-B55.5,"Will the high temp in Chicago be 55-56° on Apr 11, 2026?",between,BUY_NO,Chicago,NO,WIN
2026-04-11,KXHIGHCHI-26APR11-B53.5,"Will the high temp in Chicago be 53-54° on Apr 11, 2026?",between,BUY_NO,Chicago,NO,WIN

2026-04-12,KXHIGHLAX-26APR12-T68,"Will the high temp in LA be >68° on Apr 12, 2026?",greater_than,BUY_YES_STRONG,LA,YES,WIN
2026-04-12,KXHIGHLAX-26APR12-B67.5,"Will the high temp in LA be 67-68° on Apr 12, 2026?",between,BUY_NO,LA,NO,WIN
2026-04-12,KXHIGHLAX-26APR12-B65.5,"Will the high temp in LA be 65-66° on Apr 12, 2026?",between,BUY_NO_STRONG,LA,NO,WIN
